"","n","interim_fraction","MonitoringType","P","Proportion","FutilityPValue","EfficacyPValue","AlternativeRejectionRate0.8","NullRejectionRate0.05","TypeIIError","LevelOfSignificance"
"88",40,0.5,"FE",0.00304526344597988,0.15,0.578364124002847,0.00304526344597988,0.534,0.058,0.466,0.942
"89",40,0.5,"FE",0.00304526344597988,0.2,0.578364124002847,0.00304526344597988,0.508,0.048,0.492,0.952
"90",40,0.5,"FE",0.00304526344597988,0.25,0.578364124002847,0.00304526344597988,0.486,0.039,0.514,0.961
"91",40,0.5,"FE",0.00304526344597988,0.3,0.578364124002847,0.00304526344597988,0.482,0.038,0.518,0.962
"92",40,0.5,"FE",0.00304526344597988,0.35,0.578364124002847,0.00304526344597988,0.47,0.034,0.53,0.966
"93",40,0.5,"FE",0.00304526344597988,0.4,0.578364124002847,0.00304526344597988,0.443,0.032,0.557,0.968
"94",40,0.5,"FE",0.00304526344597988,0.45,0.578364124002847,0.00304526344597988,0.362,0.018,0.638,0.982
"95",40,0.5,"FE",0.00304526344597988,0.5,0.578364124002847,0.00304526344597988,0.354,0.018,0.646,0.982
"96",40,0.5,"FE",0.00304526344597988,0.55,0.578364124002847,0.00304526344597988,0.35,0.018,0.65,0.982
"97",40,0.5,"FE",0.00304526344597988,0.6,0.578364124002847,0.00304526344597988,0.297,0.012,0.703,0.988
"98",40,0.5,"FE",0.00304526344597988,0.65,0.578364124002847,0.00304526344597988,0.286,0.011,0.714,0.989
"99",40,0.5,"FE",0.00304526344597988,0.7,0.578364124002847,0.00304526344597988,0.284,0.011,0.716,0.989
"100",40,0.5,"FE",0.00304526344597988,0.75,0.578364124002847,0.00304526344597988,0.283,0.011,0.717,0.989
"101",40,0.5,"FE",0.00304526344597988,0.8,0.578364124002847,0.00304526344597988,0.269,0.011,0.731,0.989
"102",40,0.5,"FE",0.00304526344597988,0.85,0.578364124002847,0.00304526344597988,0.212,0.006,0.788,0.994
"103",40,0.5,"FE",0.00304526344597988,0.9,0.578364124002847,0.00304526344597988,0.154,0.004,0.846,0.996
"104",40,0.5,"FE",0.00304526344597988,0.95,0.578364124002847,0.00304526344597988,0.148,0.004,0.852,0.996
"105",40,0.5,"FE",0.00304526344597988,1,0.578364124002847,0.00304526344597988,0,0,1,1
"106",40,0.5,"FE",0.578364124002847,0.75,0.578364124002847,0.00304526344597988,0.899,0.427,0.101,0.573
"107",40,0.5,"FE",0.578364124002847,0.8,0.578364124002847,0.00304526344597988,0.836,0.292,0.164,0.708
"108",40,0.5,"FE",0.578364124002847,0.85,0.578364124002847,0.00304526344597988,0.816,0.273,0.184,0.727
"109",40,0.5,"FE",0.578364124002847,0.9,0.578364124002847,0.00304526344597988,0.813,0.261,0.187,0.739
"110",40,0.5,"FE",0.578364124002847,0.95,0.578364124002847,0.00304526344597988,0.758,0.204,0.242,0.796
"111",40,0.5,"FE",0.578364124002847,1,0.578364124002847,0.00304526344597988,0,0,1,1
"112",40,0.5,"FE",0.578364124002847,0.65,0.578364124002847,0.00304526344597988,0.927,0.485,0.073,0.515
"113",40,0.5,"FE",0.578364124002847,0.15,0.578364124002847,0.00304526344597988,0.999,0.993,0.001,0.00700000000000001
"114",40,0.5,"FE",0.578364124002847,0.7,0.578364124002847,0.00304526344597988,0.917,0.474,0.083,0.526
"115",40,0.5,"FE",0.578364124002847,0.2,0.578364124002847,0.00304526344597988,0.999,0.982,0.001,0.018
"116",40,0.5,"FE",0.578364124002847,0.4,0.578364124002847,0.00304526344597988,0.972,0.762,0.028,0.238
"117",40,0.5,"FE",0.578364124002847,0.25,0.578364124002847,0.00304526344597988,0.992,0.906,0.00800000000000001,0.094
"118",40,0.5,"FE",0.578364124002847,0.45,0.578364124002847,0.00304526344597988,0.942,0.561,0.0580000000000001,0.439
"119",40,0.5,"FE",0.578364124002847,0.3,0.578364124002847,0.00304526344597988,0.98,0.821,0.02,0.179
"120",40,0.5,"FE",0.578364124002847,0.5,0.578364124002847,0.00304526344597988,0.934,0.518,0.0659999999999999,0.482
"121",40,0.5,"FE",0.578364124002847,0.35,0.578364124002847,0.00304526344597988,0.98,0.804,0.02,0.196
"122",40,0.5,"FE",0.578364124002847,0.55,0.578364124002847,0.00304526344597988,0.932,0.505,0.0679999999999999,0.495
"123",40,0.5,"FE",0.578364124002847,0.05,0.578364124002847,0.00304526344597988,1,1,0,0
"124",40,0.5,"FE",0.578364124002847,0.6,0.578364124002847,0.00304526344597988,0.927,0.491,0.073,0.509
"125",40,0.5,"FE",0.578364124002847,0.1,0.578364124002847,0.00304526344597988,0.999,1,0.001,0
"126",40,0.5,"FE",0.578364124002847,0,0.578364124002847,0.00304526344597988,1,1,0,0
"127",40,0.75,"FO",0.193265864371953,0,0.193265864371953,0,0.993,0.869,0.00700000000000001,0.131
"128",40,0.75,"FO",0.193265864371953,0.05,0.193265864371953,0,0.972,0.482,0.028,0.518
"129",40,0.75,"FO",0.193265864371953,0.1,0.193265864371953,0,0.954,0.377,0.046,0.623
"130",40,0.75,"FO",0.193265864371953,0.15,0.193265864371953,0,0.952,0.35,0.048,0.65
"131",40,0.75,"FO",0.193265864371953,0.2,0.193265864371953,0,0.944,0.311,0.056,0.689
"132",40,0.75,"FO",0.193265864371953,0.25,0.193265864371953,0,0.935,0.291,0.0649999999999999,0.709
"133",40,0.75,"FO",0.193265864371953,0.3,0.193265864371953,0,0.935,0.288,0.0649999999999999,0.712
"134",40,0.75,"FO",0.193265864371953,0.35,0.193265864371953,0,0.916,0.253,0.084,0.747
"135",40,0.75,"FO",0.193265864371953,0.4,0.193265864371953,0,0.899,0.223,0.101,0.777
"136",40,0.75,"FO",0.193265864371953,0.45,0.193265864371953,0,0.896,0.216,0.104,0.784
"137",40,0.75,"FO",0.193265864371953,0.5,0.193265864371953,0,0.878,0.184,0.122,0.816
"138",40,0.75,"FO",0.193265864371953,0.55,0.193265864371953,0,0.874,0.178,0.126,0.822
"139",40,0.75,"FO",0.193265864371953,0.6,0.193265864371953,0,0.857,0.161,0.143,0.839
"140",40,0.75,"FO",0.193265864371953,0.65,0.193265864371953,0,0.838,0.138,0.162,0.862
"141",40,0.75,"FO",0.193265864371953,0.7,0.193265864371953,0,0.836,0.137,0.164,0.863
"142",40,0.75,"FO",0.193265864371953,0.75,0.193265864371953,0,0.798,0.12,0.202,0.88
"143",40,0.75,"FO",0.193265864371953,0.8,0.193265864371953,0,0.78,0.103,0.22,0.897
"144",40,0.75,"FO",0.193265864371953,0.85,0.193265864371953,0,0.741,0.089,0.259,0.911
"145",40,0.75,"FO",0.193265864371953,0.9,0.193265864371953,0,0.723,0.078,0.277,0.922
"146",40,0.75,"FO",0.193265864371953,0.95,0.193265864371953,0,0.656,0.052,0.344,0.948
"147",40,0.75,"FO",0.193265864371953,1,0.193265864371953,0,0,0,1,1
"148",40,0.75,"EO",0.0183220688360937,0,1.99999999802682,0.0183220688360937,0.899,0.221,0.101,0.779
"149",40,0.75,"EO",0.0183220688360937,0.05,1.99999999802682,0.0183220688360937,0.785,0.109,0.215,0.891
"150",40,0.75,"EO",0.0183220688360937,0.1,1.99999999802682,0.0183220688360937,0.732,0.076,0.268,0.924
"151",40,0.75,"EO",0.0183220688360937,0.15,1.99999999802682,0.0183220688360937,0.689,0.06,0.311,0.94
"152",40,0.75,"EO",0.0183220688360937,0.2,1.99999999802682,0.0183220688360937,0.688,0.058,0.312,0.942
"153",40,0.75,"EO",0.0183220688360937,0.25,1.99999999802682,0.0183220688360937,0.655,0.051,0.345,0.949
"154",40,0.75,"EO",0.0183220688360937,0.3,1.99999999802682,0.0183220688360937,0.645,0.05,0.355,0.95
"155",40,0.75,"EO",0.0183220688360937,0.35,1.99999999802682,0.0183220688360937,0.63,0.048,0.37,0.952
"156",40,0.75,"EO",0.0183220688360937,0.4,1.99999999802682,0.0183220688360937,0.567,0.033,0.433,0.967
"157",40,0.75,"EO",0.0183220688360937,0.45,1.99999999802682,0.0183220688360937,0.541,0.028,0.459,0.972
"158",40,0.75,"EO",0.0183220688360937,0.5,1.99999999802682,0.0183220688360937,0.526,0.027,0.474,0.973
"159",40,0.75,"EO",0.0183220688360937,0.55,1.99999999802682,0.0183220688360937,0.502,0.021,0.498,0.979
"160",40,0.75,"EO",0.0183220688360937,0.6,1.99999999802682,0.0183220688360937,0.494,0.019,0.506,0.981
"161",40,0.75,"EO",0.0183220688360937,0.65,1.99999999802682,0.0183220688360937,0.489,0.019,0.511,0.981
"162",40,0.75,"EO",0.0183220688360937,0.7,1.99999999802682,0.0183220688360937,0.47,0.018,0.53,0.982
"163",40,0.75,"EO",0.0183220688360937,0.75,1.99999999802682,0.0183220688360937,0.425,0.014,0.575,0.986
"164",40,0.75,"EO",0.0183220688360937,0.8,1.99999999802682,0.0183220688360937,0.382,0.01,0.618,0.99
"165",40,0.75,"EO",0.0183220688360937,0.85,1.99999999802682,0.0183220688360937,0.358,0.008,0.642,0.992
"166",40,0.75,"EO",0.0183220688360937,0.9,1.99999999802682,0.0183220688360937,0.355,0.008,0.645,0.992
"167",40,0.75,"EO",0.0183220688360937,0.95,1.99999999802682,0.0183220688360937,0.251,0.005,0.749,0.995
"168",40,0.75,"EO",0.0183220688360937,1,1.99999999802682,0.0183220688360937,0,0,1,1
"169",40,0.75,"FE",0.0183910831118006,0.9,0.186275384393549,0.0183910831118006,0.355,0.008,0.645,0.992
"170",40,0.75,"FE",0.0183910831118006,0.85,0.186275384393549,0.0183910831118006,0.358,0.008,0.642,0.992
"171",40,0.75,"FE",0.0183910831118006,0.75,0.186275384393549,0.0183910831118006,0.425,0.014,0.575,0.986
"172",40,0.75,"FE",0.0183910831118006,0.95,0.186275384393549,0.0183910831118006,0.251,0.005,0.749,0.995
"173",40,0.75,"FE",0.0183910831118006,0.8,0.186275384393549,0.0183910831118006,0.382,0.01,0.618,0.99
"174",40,0.75,"FE",0.0183910831118006,1,0.186275384393549,0.0183910831118006,0,0,1,1
"175",40,0.75,"FE",0.0183910831118006,0.7,0.186275384393549,0.0183910831118006,0.47,0.018,0.53,0.982
"176",40,0.75,"FE",0.0183910831118006,0,0.186275384393549,0.0183910831118006,0.899,0.221,0.101,0.779
"177",40,0.75,"FE",0.0183910831118006,0.05,0.186275384393549,0.0183910831118006,0.785,0.109,0.215,0.891
"178",40,0.75,"FE",0.0183910831118006,0.1,0.186275384393549,0.0183910831118006,0.732,0.076,0.268,0.924
"179",40,0.75,"FE",0.0183910831118006,0.15,0.186275384393549,0.0183910831118006,0.689,0.06,0.311,0.94
"180",40,0.75,"FE",0.0183910831118006,0.2,0.186275384393549,0.0183910831118006,0.688,0.058,0.312,0.942
"181",40,0.75,"FE",0.0183910831118006,0.25,0.186275384393549,0.0183910831118006,0.655,0.051,0.345,0.949
"182",40,0.75,"FE",0.0183910831118006,0.3,0.186275384393549,0.0183910831118006,0.645,0.05,0.355,0.95
"183",40,0.75,"FE",0.0183910831118006,0.35,0.186275384393549,0.0183910831118006,0.63,0.048,0.37,0.952
"184",40,0.75,"FE",0.0183910831118006,0.4,0.186275384393549,0.0183910831118006,0.567,0.033,0.433,0.967
"185",40,0.75,"FE",0.0183910831118006,0.45,0.186275384393549,0.0183910831118006,0.541,0.028,0.459,0.972
"186",40,0.75,"FE",0.0183910831118006,0.5,0.186275384393549,0.0183910831118006,0.526,0.027,0.474,0.973
"187",40,0.75,"FE",0.0183910831118006,0.55,0.186275384393549,0.0183910831118006,0.502,0.021,0.498,0.979
"188",40,0.75,"FE",0.0183910831118006,0.6,0.186275384393549,0.0183910831118006,0.494,0.019,0.506,0.981
"189",40,0.75,"FE",0.0183910831118006,0.65,0.186275384393549,0.0183910831118006,0.489,0.019,0.511,0.981
"190",40,0.75,"FE",0.186275384393549,0.35,0.186275384393549,0.0183910831118006,0.908,0.233,0.092,0.767
"191",40,0.75,"FE",0.186275384393549,0.4,0.186275384393549,0.0183910831118006,0.899,0.22,0.101,0.78
"192",40,0.75,"FE",0.186275384393549,0.45,0.186275384393549,0.0183910831118006,0.892,0.208,0.108,0.792
"193",40,0.75,"FE",0.186275384393549,0.5,0.186275384393549,0.0183910831118006,0.857,0.16,0.143,0.84
"194",40,0.75,"FE",0.186275384393549,0.55,0.186275384393549,0.0183910831118006,0.845,0.141,0.155,0.859
"195",40,0.75,"FE",0.186275384393549,0.6,0.186275384393549,0.0183910831118006,0.838,0.139,0.162,0.861
"196",40,0.75,"FE",0.186275384393549,0.65,0.186275384393549,0.0183910831118006,0.834,0.134,0.166,0.866
"197",40,0.75,"FE",0.186275384393549,0.7,0.186275384393549,0.0183910831118006,0.807,0.123,0.193,0.877
"198",40,0.75,"FE",0.186275384393549,0.75,0.186275384393549,0.0183910831118006,0.79,0.114,0.21,0.886
"199",40,0.75,"FE",0.186275384393549,0.8,0.186275384393549,0.0183910831118006,0.754,0.094,0.246,0.906
"200",40,0.75,"FE",0.186275384393549,0.85,0.186275384393549,0.0183910831118006,0.726,0.078,0.274,0.922
"201",40,0.75,"FE",0.186275384393549,0.9,0.186275384393549,0.0183910831118006,0.69,0.059,0.31,0.941
"202",40,0.75,"FE",0.186275384393549,0.95,0.186275384393549,0.0183910831118006,0.638,0.052,0.362,0.948
"203",40,0.75,"FE",0.186275384393549,1,0.186275384393549,0.0183910831118006,0,0,1,1
"204",40,0.75,"FE",0.186275384393549,0,0.186275384393549,0.0183910831118006,0.99,0.815,0.01,0.185
"205",40,0.75,"FE",0.186275384393549,0.05,0.186275384393549,0.0183910831118006,0.963,0.416,0.037,0.584
"206",40,0.75,"FE",0.186275384393549,0.1,0.186275384393549,0.0183910831118006,0.954,0.351,0.046,0.649
"207",40,0.75,"FE",0.186275384393549,0.15,0.186275384393549,0.0183910831118006,0.949,0.338,0.051,0.662
"208",40,0.75,"FE",0.186275384393549,0.2,0.186275384393549,0.0183910831118006,0.938,0.285,0.0620000000000001,0.715
"209",40,0.75,"FE",0.186275384393549,0.25,0.186275384393549,0.0183910831118006,0.916,0.249,0.084,0.751
"210",40,0.75,"FE",0.186275384393549,0.3,0.186275384393549,0.0183910831118006,0.914,0.243,0.086,0.757
"211",160,0.25,"EO",1.47336168718759e-05,0,1.99999999802682,1.47336168718759e-05,0.706,0.372,0.294,0.628
"212",160,0.25,"EO",1.47336168718759e-05,0.05,1.99999999802682,1.47336168718759e-05,0.463,0.137,0.537,0.863
"213",160,0.25,"EO",1.47336168718759e-05,0.1,1.99999999802682,1.47336168718759e-05,0.372,0.09,0.628,0.91
"214",160,0.25,"EO",1.47336168718759e-05,0.15,1.99999999802682,1.47336168718759e-05,0.369,0.083,0.631,0.917
"215",160,0.25,"EO",1.47336168718759e-05,0.2,1.99999999802682,1.47336168718759e-05,0.322,0.072,0.678,0.928
"216",160,0.25,"EO",1.47336168718759e-05,0.25,1.99999999802682,1.47336168718759e-05,0.275,0.058,0.725,0.942
"217",160,0.25,"EO",1.47336168718759e-05,0.3,1.99999999802682,1.47336168718759e-05,0.265,0.053,0.735,0.947
"218",160,0.25,"EO",1.47336168718759e-05,0.35,1.99999999802682,1.47336168718759e-05,0.264,0.05,0.736,0.95
"219",160,0.25,"EO",1.47336168718759e-05,0.4,1.99999999802682,1.47336168718759e-05,0.264,0.049,0.736,0.951
"220",160,0.25,"EO",1.47336168718759e-05,0.45,1.99999999802682,1.47336168718759e-05,0.253,0.046,0.747,0.954
"221",160,0.25,"EO",1.47336168718759e-05,0.5,1.99999999802682,1.47336168718759e-05,0.186,0.03,0.814,0.97
"222",160,0.25,"EO",1.47336168718759e-05,0.55,1.99999999802682,1.47336168718759e-05,0.167,0.025,0.833,0.975
"223",160,0.25,"EO",1.47336168718759e-05,0.6,1.99999999802682,1.47336168718759e-05,0.163,0.022,0.837,0.978
"224",160,0.25,"EO",1.47336168718759e-05,0.65,1.99999999802682,1.47336168718759e-05,0.159,0.018,0.841,0.982
"225",160,0.25,"EO",1.47336168718759e-05,0.7,1.99999999802682,1.47336168718759e-05,0.158,0.017,0.842,0.983
"226",160,0.25,"EO",1.47336168718759e-05,0.75,1.99999999802682,1.47336168718759e-05,0.148,0.015,0.852,0.985
"227",160,0.25,"EO",1.47336168718759e-05,0.8,1.99999999802682,1.47336168718759e-05,0.117,0.009,0.883,0.991
"228",160,0.25,"EO",1.47336168718759e-05,0.85,1.99999999802682,1.47336168718759e-05,0.095,0.008,0.905,0.992
"229",160,0.25,"EO",1.47336168718759e-05,0.9,1.99999999802682,1.47336168718759e-05,0.092,0.008,0.908,0.992
"230",160,0.25,"EO",1.47336168718759e-05,0.95,1.99999999802682,1.47336168718759e-05,0.052,0.004,0.948,0.996
"231",160,0.25,"EO",1.47336168718759e-05,1,1.99999999802682,1.47336168718759e-05,0,0,1,1
"232",160,0.25,"FE",1.47336168718759e-05,0,NA,1.47336168718759e-05,0.706,0.372,0.294,0.628
"233",160,0.25,"FE",1.47336168718759e-05,0.05,NA,1.47336168718759e-05,0.463,0.137,0.537,0.863
"234",160,0.25,"FE",1.47336168718759e-05,0.1,NA,1.47336168718759e-05,0.372,0.09,0.628,0.91
"235",160,0.25,"FE",1.47336168718759e-05,0.15,NA,1.47336168718759e-05,0.369,0.083,0.631,0.917
"236",160,0.25,"FE",1.47336168718759e-05,0.2,NA,1.47336168718759e-05,0.322,0.072,0.678,0.928
"237",160,0.25,"FE",1.47336168718759e-05,0.25,NA,1.47336168718759e-05,0.275,0.058,0.725,0.942
"238",160,0.25,"FE",1.47336168718759e-05,0.3,NA,1.47336168718759e-05,0.265,0.053,0.735,0.947
"239",160,0.25,"FE",1.47336168718759e-05,0.35,NA,1.47336168718759e-05,0.264,0.05,0.736,0.95
"240",160,0.25,"FE",1.47336168718759e-05,0.4,NA,1.47336168718759e-05,0.264,0.049,0.736,0.951
"241",160,0.25,"FE",1.47336168718759e-05,0.45,NA,1.47336168718759e-05,0.253,0.046,0.747,0.954
"242",160,0.25,"FE",1.47336168718759e-05,0.5,NA,1.47336168718759e-05,0.186,0.03,0.814,0.97
"243",160,0.25,"FE",1.47336168718759e-05,0.55,NA,1.47336168718759e-05,0.167,0.025,0.833,0.975
"244",160,0.25,"FE",1.47336168718759e-05,0.6,NA,1.47336168718759e-05,0.163,0.022,0.837,0.978
"245",160,0.25,"FE",1.47336168718759e-05,0.65,NA,1.47336168718759e-05,0.159,0.018,0.841,0.982
"246",160,0.25,"FE",1.47336168718759e-05,0.7,NA,1.47336168718759e-05,0.158,0.017,0.842,0.983
"247",160,0.25,"FE",1.47336168718759e-05,0.75,NA,1.47336168718759e-05,0.148,0.015,0.852,0.985
"248",160,0.25,"FE",1.47336168718759e-05,0.8,NA,1.47336168718759e-05,0.117,0.009,0.883,0.991
"249",160,0.25,"FE",1.47336168718759e-05,0.85,NA,1.47336168718759e-05,0.095,0.008,0.905,0.992
"250",160,0.25,"FE",1.47336168718759e-05,0.9,NA,1.47336168718759e-05,0.092,0.008,0.908,0.992
"251",160,0.25,"FE",1.47336168718759e-05,0.95,NA,1.47336168718759e-05,0.052,0.004,0.948,0.996
"252",160,0.25,"FE",1.47336168718759e-05,1,NA,1.47336168718759e-05,0,0,1,1
"253",160,0.5,"FO",0.587238814856593,0,0.587238814856593,0,1,1,0,0
"254",160,0.5,"FO",0.587238814856593,0.05,0.587238814856593,0,1,1,0,0
"255",160,0.5,"FO",0.587238814856593,0.1,0.587238814856593,0,1,1,0,0
"256",160,0.5,"FO",0.587238814856593,0.15,0.587238814856593,0,1,1,0,0
"257",160,0.5,"FO",0.587238814856593,0.2,0.587238814856593,0,1,1,0,0
"258",160,0.5,"FO",0.587238814856593,0.25,0.587238814856593,0,1,1,0,0
"259",160,0.5,"FO",0.587238814856593,0.3,0.587238814856593,0,0.997,0.961,0.003,0.039
"260",160,0.5,"FO",0.587238814856593,0.35,0.587238814856593,0,0.974,0.841,0.026,0.159
"261",160,0.5,"FO",0.587238814856593,0.4,0.587238814856593,0,0.955,0.752,0.045,0.248
"262",160,0.5,"FO",0.587238814856593,0.45,0.587238814856593,0,0.954,0.737,0.046,0.263
"263",160,0.5,"FO",0.587238814856593,0.5,0.587238814856593,0,0.935,0.62,0.0649999999999999,0.38
"264",160,0.5,"FO",0.587238814856593,0.55,0.587238814856593,0,0.93,0.591,0.07,0.409
"265",160,0.5,"FO",0.587238814856593,0.6,0.587238814856593,0,0.929,0.584,0.071,0.416
"266",160,0.5,"FO",0.587238814856593,0.65,0.587238814856593,0,0.901,0.492,0.099,0.508
"267",160,0.5,"FO",0.587238814856593,0.7,0.587238814856593,0,0.892,0.433,0.108,0.567
"268",160,0.5,"FO",0.587238814856593,0.75,0.587238814856593,0,0.892,0.429,0.108,0.571
"269",160,0.5,"FO",0.587238814856593,0.8,0.587238814856593,0,0.852,0.339,0.148,0.661
"270",160,0.5,"FO",0.587238814856593,0.85,0.587238814856593,0,0.845,0.299,0.155,0.701
"271",160,0.5,"FO",0.587238814856593,0.9,0.587238814856593,0,0.795,0.253,0.205,0.747
"272",160,0.5,"FO",0.587238814856593,0.95,0.587238814856593,0,0.768,0.205,0.232,0.795
"273",160,0.5,"FO",0.587238814856593,1,0.587238814856593,0,0,0,1,1
"274",160,0.5,"EO",0.00304526344597988,0,1.99999999802682,0.00304526344597988,0.918,0.557,0.082,0.443
"275",160,0.5,"EO",0.00304526344597988,0.05,1.99999999802682,0.00304526344597988,0.718,0.166,0.282,0.834
"276",160,0.5,"EO",0.00304526344597988,0.1,1.99999999802682,0.00304526344597988,0.669,0.132,0.331,0.868
"277",160,0.5,"EO",0.00304526344597988,0.15,1.99999999802682,0.00304526344597988,0.608,0.097,0.392,0.903
"278",160,0.5,"EO",0.00304526344597988,0.2,1.99999999802682,0.00304526344597988,0.592,0.087,0.408,0.913
"279",160,0.5,"EO",0.00304526344597988,0.25,1.99999999802682,0.00304526344597988,0.527,0.063,0.473,0.937
"280",160,0.5,"EO",0.00304526344597988,0.3,1.99999999802682,0.00304526344597988,0.526,0.054,0.474,0.946
"281",160,0.5,"EO",0.00304526344597988,0.35,1.99999999802682,0.00304526344597988,0.516,0.052,0.484,0.948
"282",160,0.5,"EO",0.00304526344597988,0.4,1.99999999802682,0.00304526344597988,0.444,0.041,0.556,0.959
"283",160,0.5,"EO",0.00304526344597988,0.45,1.99999999802682,0.00304526344597988,0.44,0.037,0.56,0.963
"284",160,0.5,"EO",0.00304526344597988,0.5,1.99999999802682,0.00304526344597988,0.438,0.035,0.562,0.965
"285",160,0.5,"EO",0.00304526344597988,0.55,1.99999999802682,0.00304526344597988,0.393,0.032,0.607,0.968
"286",160,0.5,"EO",0.00304526344597988,0.6,1.99999999802682,0.00304526344597988,0.347,0.025,0.653,0.975
"287",160,0.5,"EO",0.00304526344597988,0.65,1.99999999802682,0.00304526344597988,0.344,0.022,0.656,0.978
"288",160,0.5,"EO",0.00304526344597988,0.7,1.99999999802682,0.00304526344597988,0.335,0.019,0.665,0.981
"289",160,0.5,"EO",0.00304526344597988,0.75,1.99999999802682,0.00304526344597988,0.266,0.017,0.734,0.983
"290",160,0.5,"EO",0.00304526344597988,0.8,1.99999999802682,0.00304526344597988,0.26,0.016,0.74,0.984
"291",160,0.5,"EO",0.00304526344597988,0.85,1.99999999802682,0.00304526344597988,0.246,0.014,0.754,0.986
"292",160,0.5,"EO",0.00304526344597988,0.9,1.99999999802682,0.00304526344597988,0.204,0.008,0.796,0.992
"293",160,0.5,"EO",0.00304526344597988,0.95,1.99999999802682,0.00304526344597988,0.151,0.006,0.849,0.994
"294",160,0.5,"EO",0.00304526344597988,1,1.99999999802682,0.00304526344597988,0,0,1,1
"295",160,0.5,"FE",0.00304526344597988,0,0.578364124002847,0.00304526344597988,0.918,0.557,0.082,0.443
"296",160,0.5,"FE",0.00304526344597988,0.05,0.578364124002847,0.00304526344597988,0.718,0.166,0.282,0.834
"297",160,0.5,"FE",0.00304526344597988,0.1,0.578364124002847,0.00304526344597988,0.669,0.132,0.331,0.868
"298",160,0.5,"FE",0.00304526344597988,0.15,0.578364124002847,0.00304526344597988,0.608,0.097,0.392,0.903
"299",160,0.5,"FE",0.00304526344597988,0.2,0.578364124002847,0.00304526344597988,0.592,0.087,0.408,0.913
"300",160,0.5,"FE",0.00304526344597988,0.25,0.578364124002847,0.00304526344597988,0.527,0.063,0.473,0.937
"301",160,0.5,"FE",0.00304526344597988,0.3,0.578364124002847,0.00304526344597988,0.526,0.054,0.474,0.946
"302",160,0.5,"FE",0.00304526344597988,0.35,0.578364124002847,0.00304526344597988,0.516,0.052,0.484,0.948
"303",160,0.5,"FE",0.00304526344597988,0.4,0.578364124002847,0.00304526344597988,0.444,0.041,0.556,0.959
"304",160,0.5,"FE",0.00304526344597988,0.45,0.578364124002847,0.00304526344597988,0.44,0.037,0.56,0.963
"305",160,0.5,"FE",0.00304526344597988,0.5,0.578364124002847,0.00304526344597988,0.438,0.035,0.562,0.965
"306",160,0.5,"FE",0.00304526344597988,0.55,0.578364124002847,0.00304526344597988,0.393,0.032,0.607,0.968
"307",160,0.5,"FE",0.00304526344597988,0.6,0.578364124002847,0.00304526344597988,0.347,0.025,0.653,0.975
"308",160,0.5,"FE",0.00304526344597988,0.65,0.578364124002847,0.00304526344597988,0.344,0.022,0.656,0.978
"309",160,0.5,"FE",0.00304526344597988,0.7,0.578364124002847,0.00304526344597988,0.335,0.019,0.665,0.981
"310",160,0.5,"FE",0.00304526344597988,0.75,0.578364124002847,0.00304526344597988,0.266,0.017,0.734,0.983
"311",160,0.5,"FE",0.00304526344597988,0.8,0.578364124002847,0.00304526344597988,0.26,0.016,0.74,0.984
"312",160,0.5,"FE",0.00304526344597988,0.85,0.578364124002847,0.00304526344597988,0.246,0.014,0.754,0.986
"313",160,0.5,"FE",0.00304526344597988,0.9,0.578364124002847,0.00304526344597988,0.204,0.008,0.796,0.992
"314",160,0.5,"FE",0.00304526344597988,0.95,0.578364124002847,0.00304526344597988,0.151,0.006,0.849,0.994
"315",160,0.5,"FE",0.00304526344597988,1,0.578364124002847,0.00304526344597988,0,0,1,1
"316",160,0.5,"FE",0.578364124002847,0.75,0.578364124002847,0.00304526344597988,0.892,0.428,0.108,0.572
"317",160,0.5,"FE",0.578364124002847,0.8,0.578364124002847,0.00304526344597988,0.852,0.338,0.148,0.662
"318",160,0.5,"FE",0.578364124002847,0.85,0.578364124002847,0.00304526344597988,0.845,0.299,0.155,0.701
"319",160,0.5,"FE",0.578364124002847,0.9,0.578364124002847,0.00304526344597988,0.795,0.253,0.205,0.747
"320",160,0.5,"FE",0.578364124002847,0.95,0.578364124002847,0.00304526344597988,0.768,0.205,0.232,0.795
