"","n","interim_fraction","MonitoringType","P","Proportion","FutilityPValue","EfficacyPValue","AlternativeRejectionRate0.8","NullRejectionRate0.05","TypeIIError","LevelOfSignificance"
"321",160,0.5,"FE",0.578364124002847,1,0.578364124002847,0.00304526344597988,0,0,1,1
"322",160,0.5,"FE",0.578364124002847,0.65,0.578364124002847,0.00304526344597988,0.901,0.491,0.099,0.509
"323",160,0.5,"FE",0.578364124002847,0.15,0.578364124002847,0.00304526344597988,1,1,0,0
"324",160,0.5,"FE",0.578364124002847,0.7,0.578364124002847,0.00304526344597988,0.892,0.433,0.108,0.567
"325",160,0.5,"FE",0.578364124002847,0.2,0.578364124002847,0.00304526344597988,1,1,0,0
"326",160,0.5,"FE",0.578364124002847,0.4,0.578364124002847,0.00304526344597988,0.955,0.751,0.045,0.249
"327",160,0.5,"FE",0.578364124002847,0.25,0.578364124002847,0.00304526344597988,1,1,0,0
"328",160,0.5,"FE",0.578364124002847,0.45,0.578364124002847,0.00304526344597988,0.954,0.737,0.046,0.263
"329",160,0.5,"FE",0.578364124002847,0.3,0.578364124002847,0.00304526344597988,0.997,0.96,0.003,0.04
"330",160,0.5,"FE",0.578364124002847,0.5,0.578364124002847,0.00304526344597988,0.935,0.62,0.0649999999999999,0.38
"331",160,0.5,"FE",0.578364124002847,0.35,0.578364124002847,0.00304526344597988,0.974,0.84,0.026,0.16
"332",160,0.5,"FE",0.578364124002847,0.55,0.578364124002847,0.00304526344597988,0.93,0.591,0.07,0.409
"333",160,0.5,"FE",0.578364124002847,0.05,0.578364124002847,0.00304526344597988,1,1,0,0
"334",160,0.5,"FE",0.578364124002847,0.6,0.578364124002847,0.00304526344597988,0.929,0.584,0.071,0.416
"335",160,0.5,"FE",0.578364124002847,0.1,0.578364124002847,0.00304526344597988,1,1,0,0
"336",160,0.5,"FE",0.578364124002847,0,0.578364124002847,0.00304526344597988,1,1,0,0
"337",160,0.75,"FO",0.193265864371953,0,0.193265864371953,0,1,0.993,0,0.00700000000000001
"338",160,0.75,"FO",0.193265864371953,0.05,0.193265864371953,0,0.967,0.561,0.033,0.439
"339",160,0.75,"FO",0.193265864371953,0.1,0.193265864371953,0,0.947,0.476,0.053,0.524
"340",160,0.75,"FO",0.193265864371953,0.15,0.193265864371953,0,0.943,0.413,0.0570000000000001,0.587
"341",160,0.75,"FO",0.193265864371953,0.2,0.193265864371953,0,0.909,0.368,0.091,0.632
"342",160,0.75,"FO",0.193265864371953,0.25,0.193265864371953,0,0.905,0.345,0.095,0.655
"343",160,0.75,"FO",0.193265864371953,0.3,0.193265864371953,0,0.9,0.319,0.1,0.681
"344",160,0.75,"FO",0.193265864371953,0.35,0.193265864371953,0,0.882,0.271,0.118,0.729
"345",160,0.75,"FO",0.193265864371953,0.4,0.193265864371953,0,0.881,0.25,0.119,0.75
"346",160,0.75,"FO",0.193265864371953,0.45,0.193265864371953,0,0.88,0.24,0.12,0.76
"347",160,0.75,"FO",0.193265864371953,0.5,0.193265864371953,0,0.852,0.211,0.148,0.789
"348",160,0.75,"FO",0.193265864371953,0.55,0.193265864371953,0,0.846,0.2,0.154,0.8
"349",160,0.75,"FO",0.193265864371953,0.6,0.193265864371953,0,0.845,0.189,0.155,0.811
"350",160,0.75,"FO",0.193265864371953,0.65,0.193265864371953,0,0.817,0.167,0.183,0.833
"351",160,0.75,"FO",0.193265864371953,0.7,0.193265864371953,0,0.801,0.145,0.199,0.855
"352",160,0.75,"FO",0.193265864371953,0.75,0.193265864371953,0,0.801,0.134,0.199,0.866
"353",160,0.75,"FO",0.193265864371953,0.8,0.193265864371953,0,0.755,0.11,0.245,0.89
"354",160,0.75,"FO",0.193265864371953,0.85,0.193265864371953,0,0.742,0.096,0.258,0.904
"355",160,0.75,"FO",0.193265864371953,0.9,0.193265864371953,0,0.687,0.077,0.313,0.923
